,algorithm,support,confidence,cosine
0,mocsoarm,0.7319587628865979,1.0,0.8555458859036129
1,mocsoarm,0.7577319587628866,0.8749999999999999,0.9109548340490977
2,mopso,0.005154639175257732,1.0,1.0
3,mopso,0.865979381443299,1.0,0.9305801316615884
4,nsgaii,0.13917525773195877,1.0,0.37306200253035526
5,nsgaii,0.2422680412371134,0.9791666666666666,0.5084722288293007
6,nsgaii,0.8144329896907216,0.8876404494382023,0.9136764790669694
7,hmofaarm,0.865979381443299,1.0,0.9305801316615884
8,mosaarm,0.7319587628865979,1.0,0.8555458859036129
9,mowsaarm,0.005154639175257732,1.0,1.0
10,mowsaarm,0.23711340206185566,1.0,0.48694291458224925
11,mowsaarm,0.28865979381443296,0.9655172413793103,0.5435612458252221
12,mowsaarm,0.4639175257731959,0.8181818181818182,0.668042657122685
13,mowsaarm,0.4793814432989691,0.8157894736842105,0.672010226381193
14,mowsaarm,0.6030927835051546,0.7358490566037735,0.7786515050756855
15,mocatsoarm,0.7938144329896907,0.9333333333333333,0.9036961141150639
16,mocatsoarm,0.7989690721649485,1.0,0.8938506990347709
17,motlboarm,0.005154639175257732,1.0,1.0
18,motlboarm,0.30927835051546393,1.0,0.5561279983200486
19,motlboarm,0.34536082474226804,0.943661971830986,0.5959854086926831
20,motlboarm,0.6649484536082474,0.8431372549019608,0.8046172777075037
21,mofpaarm,0.9639175257731959,1.0,0.9817930157488368
22,moaloarm,0.3556701030927835,1.0,0.5963808372950824
23,moaloarm,0.4845360824742268,0.912621359223301,0.7167224459112438
24,moaloarm,0.654639175257732,0.8193548387096774,0.8089828403312996
25,modaarm,0.005154639175257732,1.0,1.0
26,modaarm,0.9175257731958762,1.0,0.957875656437659
27,mohsbotsarm,0.005154639175257732,1.0,1.0
28,mohsbotsarm,0.0979381443298969,1.0,0.7264831572567789
29,mohsbotsarm,0.4690721649484536,1.0,0.6848884324825859
30,mohsbotsarm,0.5670103092783505,0.9649122807017543,0.7615785693949839
31,mohsbotsarm,0.8917525773195877,0.9453551912568307,0.9453551912568307
32,modearm,0.005154639175257732,1.0,1.0
33,modearm,0.7525773195876289,1.0,0.8675121437695433
34,modearm,0.8505154639175257,0.9375,0.962430493640876
35,nshsdearm,0.005154639175257732,1.0,0.7071067811865476
36,nshsdearm,0.3556701030927835,1.0,0.6715507368448513
37,nshsdearm,0.7783505154639175,0.9741935483870967,0.9090778937418826
38,mogeaarm,0.9432989690721649,1.0,0.9712357947852648
39,mogsaarm,0.005154639175257732,1.0,1.0
40,mogsaarm,0.20103092783505155,1.0,0.4483647263501574
41,mogsaarm,0.4484536082474227,0.9560439560439561,0.6669261605410549
42,mogsaarm,0.4948453608247423,0.9320388349514563,0.7597781006929029
43,mogsaarm,0.865979381443299,0.9180327868852459,0.9308372098372173
44,mossoarm,0.9639175257731959,1.0,0.9817930157488368
45,mowoaarm,0.9432989690721649,1.0,0.9712357947852648
46,mososarm,0.16494845360824742,1.0,0.5929994533288809
47,mososarm,0.18041237113402062,0.8333333333333333,0.5321386295276811
48,mososarm,0.211340206185567,0.9761904761904762,0.47418652711070564
49,mososarm,0.21649484536082475,1.0,0.4652900658307942
50,mososarm,0.22164948453608246,0.6231884057971014,0.48483223223574573
51,mososarm,0.26804123711340205,0.5714285714285714,0.5714285714285714
52,mososarm,0.27835051546391754,0.5684210526315789,0.5807794766197366
53,mososarm,0.5360824742268041,0.5683060109289617,0.7330126201109551
54,mocssarm,0.005154639175257732,1.0,0.5773502691896257
55,mocssarm,0.2268041237113402,1.0,0.4762395654619009
56,mocssarm,0.7628865979381443,0.8862275449101795,0.8835860262329898
57,mocssarm,0.8092783505154639,0.8579234972677596,0.8980817517134552
